country;population;density;area;fertility;age;urban;share
Afghanistan;42647492;65;652860;4,8;17;27 %;0,52
Albania;2791765;102;27400;1,3;37;69 %;0,03
Algeria;46814308;20;2381740;2,7;28;74 %;0,57
American Samoa;46765;234;200;2,3;29;N.A.;0
Andorra;81938;174;470;1,1;43;83 %;0
Angola;37885849;30;1246700;5;17;68 %;0,46
Anguilla;14598;162;90;1,4;38;N.A.;0
Antigua and Barbuda;93772;213;440;1,6;36;28 %;0
Argentina;45696159;17;2736690;1,5;33;95 %;0,56
Armenia;2973840;104;28470;1,7;36;63 %;0,04
Aruba;108066;600;180;1,6;41;44 %;0
Australia;26713205;3;7682300;1,6;38;86 %;0,33
Austria;9120813;111;82409;1,3;43;58 %;0,11
Azerbaijan;10336577;125;82658;1,7;33;58 %;0,13
Bahamas;401283;40;10010;1,4;35;88 %;0
Bahrain;1607049;2115;760;1,8;33;N.A.;0,02
Bangladesh;173562364;1333;130170;2,1;26;42 %;2,13
Barbados;282467;657;430;1,7;39;32 %;0
Belarus;9056696;45;202910;1,2;41;84 %;0,11
Belgium;11738763;388;30280;1,4;42;99 %;0,14
Belize;417072;18;22810;2;26;48 %;0,01
Benin;14462724;128;112760;4,5;18;47 %;0,18
Bermuda;64636;1293;50;1,4;46;93 %;0
Bhutan;791524;21;38117;1,4;30;49 %;0,01
Bolivia;12413315;11;1083300;2,5;25;70 %;0,15
Bosnia and Herzegovina;3164253;62;51000;1,5;45;56 %;0,04
Botswana;2521139;4;566730;2,7;23;75 %;0,03
Brazil;211998573;25;8358140;1,6;34;91 %;2,6
British Virgin Islands;39471;263;150;1;38;43 %;0
Brunei;462721;88;5270;1,7;32;80 %;0,01
Bulgaria;6757689;62;108560;1,7;45;77 %;0,08
Burkina Faso;23548781;86;273600;4,1;17;33 %;0,29
Burundi;14047786;547;25680;4,8;16;14 %;0,17
Cabo Verde;524877;130;4030;1,5;28;78 %;0,01
Cambodia;17638801;100;176520;2,5;26;26 %;0,22
Cameroon;29123744;62;472710;4,3;18;59 %;0,36
Canada;39742430;4;9093510;1,3;40;80 %;0,49
Caribbean Netherlands;30675;94;328;1,5;40;66 %;0
Cayman Islands;74457;310;240;1,5;38;90 %;0
Central African Republic;5330690;9;622980;6;14;44 %;0,07
Chad;20299123;16;1259200;6;16;22 %;0,25
Chile;19764771;27;743532;1,1;36;85 %;0,24
China;1419321278;151;9388211;1;40;66 %;17,39
Colombia;52886363;48;1109500;1,6;32;81 %;0,65
Comoros;866628;466;1861;3,8;21;33 %;0,01
Congo;6332961;19;341500;4,1;18;69 %;0,08
Cook Islands;13729;57;240;2;36;98 %;0
Costa Rica;5129910;100;51060;1,3;35;84 %;0,06
Côte d'Ivoire;31934230;100;318000;4,2;18;49 %;0,39
Croatia;3875325;69;55960;1,5;45;61 %;0,05
Cuba;10979783;103;106440;1,4;42;81 %;0,13
Curaçao;185482;418;444;1,1;38;80 %;0
Cyprus;1358282;147;9240;1,4;38;61 %;0,02
Czech Republic (Czechia);10735859;139;77240;1,5;43;74 %;0,13
Denmark;5977412;141;42430;1,5;41;87 %;0,07
Djibouti;1168722;50;23180;2,6;25;71 %;0,01
Dominica;66205;88;750;1,5;36;83 %;0
Dominican Republic;11427557;236;48320;2,2;28;86 %;0,14
DR Congo;109276265;48;2267050;6;16;44 %;1,34
Ecuador;18135478;73;248360;1,8;29;65 %;0,22
Egypt;116538258;117;995450;2,7;24;41 %;1,43
El Salvador;6338193;306;20720;1,8;27;79 %;0,08
Equatorial Guinea;1892516;67;28050;4,1;21;63 %;0,02
Eritrea;3535603;35;101000;3,7;19;74 %;0,04
Estonia;1360546;32;42390;1,4;42;66 %;0,02
Eswatini;1242822;72;17200;2,7;22;31 %;0,02
Ethiopia;132059767;132;1000000;3,9;19;22 %;1,62
Faeroe Islands;55400;40;1396;2,2;37;40 %;0
Falkland Islands;3470;0;12170;1,7;42;68 %;0
Fiji;928784;51;18270;2,3;28;60 %;0,01
Finland;5617310;18;303890;1,3;43;86 %;0,07
France;66548530;122;547557;1,6;42;82 %;0,82
French Guiana;308522;4;82200;3,3;25;94 %;0
French Polynesia;281807;77;3660;1,5;35;66 %;0
Gabon;2538952;10;257670;3,6;22;84 %;0,03
Gambia;2759988;273;10120;3,9;18;60 %;0,03
Georgia;3807670;55;69490;1,8;37;62 %;0,05
Germany;84552242;243;348560;1,4;45;76 %;1,04
Ghana;34427414;151;227540;3,3;21;58 %;0,42
Gibraltar;39329;3933;10;1,9;39;90 %;0
Greece;10047817;78;128900;1,3;46;88 %;0,12
Greenland;55840;0;410450;1,9;35;90 %;0
Grenada;117207;345;340;1,5;34;35 %;0
Guadeloupe;375106;222;1690;2,1;47;N.A.;0
Guam;167777;311;540;2,7;31;99 %;0
Guatemala;18406359;172;107160;2,3;23;56 %;0,23
Guinea;14754785;60;245720;4,1;18;40 %;0,18
Guinea-Bissau;2201352;78;28120;3,8;19;46 %;0,03
Guyana;831087;4;196850;2,4;26;27 %;0,01
Haiti;11772557;427;27560;2,6;24;61 %;0,14
Holy See;496;124;0;1;59;N.A.;0
Honduras;10825703;97;111890;2,5;24;58 %;0,13
Hong Kong;7414909;7062;1050;0,7;47;N.A.;0,09
Hungary;9676135;107;90530;1,5;44;72 %;0,12
Iceland;393396;4;100250;1,5;36;84 %;0
India;1450935791;488;2973190;2;28;37 %;17,78
Indonesia;283487931;156;1811570;2,1;30;59 %;3,47
Iran;91567738;56;1628550;1,7;33;73 %;1,12
Iraq;46042015;106;434320;3,2;21;72 %;0,56
Ireland;5255017;76;68890;1,6;39;62 %;0,06
Isle of Man;84160;148;570;1,5;46;56 %;0
Israel;9387021;434;21640;2,8;29;91 %;0,12
Italy;59342867;202;294140;1,2;48;72 %;0,73
Jamaica;2839175;262;10830;1,4;32;60 %;0,03
Japan;123753041;339;364555;1,2;49;93 %;1,52
Jordan;11552876;130;88780;2,6;25;84 %;0,14
Kazakhstan;20592571;8;2699700;3;30;55 %;0,25
Kenya;56432944;99;569140;3,2;20;31 %;0,69
Kiribati;134518;166;810;3,1;23;57 %;0
Kuwait;4934507;277;17820;1,5;35;92 %;0,06
Kyrgyzstan;7186009;37;191800;2,8;25;35 %;0,09
Laos;7769819;34;230800;2,4;25;38 %;0,1
Latvia;1871871;30;62200;1,3;43;67 %;0,02
Lebanon;5805962;568;10230;2,2;29;88 %;0,07
Lesotho;2337423;77;30360;2,7;22;32 %;0,03
Liberia;5612817;58;96320;3,9;19;54 %;0,07
Libya;7381023;4;1759540;2,3;27;77 %;0,09
Liechtenstein;39870;249;160;1,5;44;15 %;0
Lithuania;2859110;46;62674;1,2;42;68 %;0,04
Luxembourg;673036;260;2590;1,4;39;87 %;0,01
Macao;720262;24009;30;0,7;39;96 %;0,01
Madagascar;31964956;55;581795;3,9;19;40 %;0,39
Malawi;21655286;230;94280;3,6;18;19 %;0,27
Malaysia;35557673;108;328550;1,5;31;77 %;0,44
Maldives;527799;1759;300;1,6;32;39 %;0,01
Mali;24478595;20;1220190;5,5;16;44 %;0,3
Malta;539607;1686;320;1,1;41;77 %;0,01
Marshall Islands;37548;209;180;2,9;21;N.A.;0
Martinique;343195;324;1060;2;49;N.A.;0
Mauritania;5169395;5;1030700;4,6;17;60 %;0,06
Mauritius;1271169;626;2030;1,2;37;41 %;0,02
Mayotte;326505;871;375;4,6;17;42 %;0
Mexico;130861007;67;1943950;1,9;29;87 %;1,6
Micronesia;526923;753;700;2,8;26;75 %;0,01
Moldova;3034961;92;32850;1,7;38;57 %;0,04
Monaco;38631;25927;1;2,1;54;N.A.;0
Mongolia;3475540;2;1553560;2,6;27;67 %;0,04
Montenegro;638479;47;13450;1,8;40;68 %;0,01
Montserrat;4389;44;100;1,4;42;11 %;0
Morocco;38081173;85;446300;2,2;30;67 %;0,47
Mozambique;34631766;44;786380;4,7;16;41 %;0,42
Myanmar;54500091;83;653290;2,1;30;34 %;0,67
Namibia;3030131;4;823290;3,2;21;54 %;0,04
Nauru;11947;597;20;3,3;20;95 %;0
Nepal;29651054;207;143350;2;25;24 %;0,36
Netherlands;18228742;541;33720;1,4;41;89 %;0,22
New Caledonia;292639;16;18280;2;34;75 %;0
New Zealand;5213944;20;263310;1,7;38;83 %;0,06
Nicaragua;6916140;57;120340;2,2;26;58 %;0,08
Niger;27032412;21;1266700;5,9;15;18 %;0,33
Nigeria;232679478;255;910770;4,4;18;54 %;2,85
Niue;1819;7;260;2,5;36;44 %;0
North Korea;26498823;220;120410;1,8;36;63 %;0,32
North Macedonia;1823009;72;25220;1,5;41;69 %;0,02
Northern Mariana Islands;44278;96;460;2,3;37;N.A.;0
Norway;5576660;15;365268;1,4;40;86 %;0,07
Oman;5281538;17;309500;2,5;29;93 %;0,06
Pakistan;251269164;326;770880;3,5;20;34 %;3,08
Palau;17695;38;460;1,9;38;N.A.;0
Panama;4515577;61;74340;2,1;30;70 %;0,06
Papua New Guinea;10576502;23;452860;3,1;23;12 %;0,13
Paraguay;6929153;17;397300;2,4;27;68 %;0,08
Peru;34217848;27;1280000;2;30;80 %;0,42
Philippines;115843670;389;298170;1,9;26;49 %;1,42
Poland;38539201;126;306230;1,3;42;59 %;0,47
Portugal;10425292;114;91590;1,5;47;66 %;0,13
Puerto Rico;3242204;366;8870;0,9;45;N.A.;0,04
Qatar;3048423;263;11610;1,7;34;97 %;0,04
Réunion;878591;351;2500;2,2;38;N.A.;0,01
Romania;19015088;83;230170;1,7;43;55 %;0,23
Russia;144820423;9;16376870;1,5;40;75 %;1,77
Rwanda;14256567;578;24670;3,6;20;18 %;0,17
Saint Barthelemy;11258;536;21;0,8;39;0 %;0
Saint Helena;5237;13;390;1,6;51;33 %;0
Saint Kitts & Nevis;46843;180;260;1,5;36;39 %;0
Saint Lucia;179744;295;610;1,4;34;20 %;0
Saint Martin;26129;493;53;2,7;41;0 %;0
Saint Pierre & Miquelon;5628;24;230;1,3;47;N.A.;0
Samoa;218019;77;2830;3,8;20;16 %;0
San Marino;33581;560;60;1,2;48;100 %;0
Sao Tome & Principe;235536;245;960;3,6;19;78 %;0
Saudi Arabia;33962757;16;2149690;2,3;30;92 %;0,42
Senegal;18501984;96;192530;3,8;19;52 %;0,23
Serbia;6736216;77;87460;1,5;44;73 %;0,08
Seychelles;130418;284;460;2,1;34;44 %;0
Sierra Leone;8642022;120;72180;3,7;19;45 %;0,11
Singapore;5832387;8332;700;1;36;N.A.;0,07
Sint Maarten;43350;1275;34;1,4;42;100 %;0
Slovakia;5506760;115;48088;1,6;42;54 %;0,07
Slovenia;2118697;105;20140;1,6;44;55 %;0,03
Solomon Islands;819198;29;27990;3,5;20;23 %;0,01
Somalia;19009151;30;627340;6;16;46 %;0,23
South Africa;64007187;53;1213090;2,2;28;66 %;0,78
South Korea;51717590;532;97230;0,7;45;82 %;0,63
South Sudan;11943408;20;610952;3,8;18;27 %;0,15
Spain;47910526;96;498800;1,2;45;79 %;0,59
Sri Lanka;23103565;368;62710;2;33;18 %;0,28
St. Vincent & Grenadines;100616;258;390;1,8;34;61 %;0
State of Palestine;5495443;913;6020;3,3;20;83 %;0,07
Sudan;50448963;29;1765048;4,3;18;35 %;0,62
Suriname;634431;4;156000;2,2;28;62 %;0,01
Sweden;10606999;26;410340;1,4;40;87 %;0,13
Switzerland;8921981;226;39516;1,4;43;74 %;0,11
Syria;24672760;134;183630;2,7;23;53 %;0,3
Taiwan;23213962;656;35410;0,9;44;83 %;0,28
Tajikistan;10590927;76;139960;3;22;27 %;0,13
Tanzania;68560157;77;885800;4,5;17;39 %;0,84
Thailand;71668011;140;510890;1,2;40;53 %;0,88
Timor-Leste;1400638;94;14870;2,6;21;35 %;0,02
Togo;9515236;175;54390;4,1;19;44 %;0,12
Tokelau;2506;251;10;2,6;27;0 %;0
Tonga;104175;145;720;3,1;21;26 %;0
Trinidad and Tobago;1507782;294;5130;1,5;37;49 %;0,02
Tunisia;12277109;79;155360;1,8;33;71 %;0,15
Turkey;87473805;114;769630;1,6;33;76 %;1,07
Turkmenistan;7494498;16;469930;2,7;27;46 %;0,09
Turks and Caicos;46535;49;950;1,5;39;79 %;0
Tuvalu;9646;322;30;3,2;24;83 %;0
U.S. Virgin Islands;84905;243;350;2,1;45;N.A.;0
Uganda;50015092;250;199810;4,2;17;29 %;0,61
Ukraine;37860221;65;579320;1;42;79 %;0,46
United Arab Emirates;11027129;132;83600;1,2;32;82 %;0,14
United Kingdom;69138192;286;241930;1,6;40;84 %;0,85
United States;345426571;38;9147420;1,6;38;82 %;4,23
Uruguay;3386588;19;175020;1,4;36;N.A.;0,04
Uzbekistan;36361859;85;425400;3,5;27;48 %;0,45
Vanuatu;327777;27;12190;3,6;20;25 %;0
Venezuela;28405543;32;882050;2,1;29;N.A.;0,35
Vietnam;100987686;326;310070;1,9;33;41 %;1,24
Wallis & Futuna;11277;81;140;1,4;38;0 %;0
Western Sahara;590506;2;266000;2,2;32;97 %;0,01
Yemen;40583164;77;527970;4,5;18;33 %;0,5
Zambia;21314956;29;743390;4;18;46 %;0,26
Zimbabwe;16634373;43;386850;3,7;18;38 %;0,2
